                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.548,                 1.8168,                 1.3547,                0.58317,                0.45434,                0.48636,                0.25978,                 1.6494,                 1.7976,                 1.4926,             0.00055319,             0.00055319,             0.00055319
                      2,                 1.6496,                 1.6355,                 1.4574,                0.63278,                0.46652,                0.50836,                0.26876,                 1.7159,                 1.8218,                 1.5609,              0.0010869,              0.0010869,              0.0010869
                      3,                 1.7057,                 1.6577,                 1.5043,                0.56067,                0.43903,                0.43975,                 0.2189,                 1.7427,                 1.8509,                 1.5785,              0.0015986,              0.0015986,              0.0015986
                      4,                 1.6858,                 1.6173,                 1.5041,                0.65377,                0.47926,                0.52719,                0.27724,                 1.6886,                 1.5235,                 1.5254,               0.001568,               0.001568,               0.001568
                      5,                 1.6731,                 1.5802,                 1.4891,                0.61511,                0.51174,                0.52748,                0.27472,                 1.6874,                  1.626,                  1.519,               0.001535,               0.001535,               0.001535
                      6,                 1.6332,                 1.5053,                  1.469,                0.67027,                0.51147,                0.55341,                0.29848,                 1.6727,                 1.4672,                 1.5016,               0.001502,               0.001502,               0.001502
                      7,                 1.6291,                 1.4734,                 1.4605,                0.70379,                0.49272,                0.55342,                0.30459,                 1.6408,                 1.4096,                 1.4913,               0.001469,               0.001469,               0.001469
                      8,                 1.6033,                 1.4449,                 1.4425,                0.67388,                0.50856,                0.55071,                0.29169,                 1.6716,                  1.455,                 1.5147,               0.001436,               0.001436,               0.001436
                      9,                 1.6014,                 1.4258,                 1.4383,                0.66208,                0.51722,                0.55997,                0.29801,                 1.6654,                 1.3922,                 1.5017,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.5835,                 1.3951,                 1.4249,                0.65314,                0.49056,                0.53762,                 0.2947,                 1.6631,                 1.4181,                 1.5085,              0.0013699,              0.0013699,              0.0013699
