                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.548,                 1.8168,                 1.3547,                0.58317,                0.45434,                0.48636,                0.25978,                 1.6494,                 1.7976,                 1.4926,             0.00055319,             0.00055319,             0.00055319
                      2,                 1.6496,                 1.6355,                 1.4574,                0.63278,                0.46652,                0.50836,                0.26876,                 1.7159,                 1.8218,                 1.5609,              0.0010869,              0.0010869,              0.0010869
                      3,                 1.7057,                 1.6577,                 1.5043,                0.56067,                0.43903,                0.43975,                 0.2189,                 1.7427,                 1.8509,                 1.5785,              0.0015986,              0.0015986,              0.0015986
                      4,                 1.6858,                 1.6173,                 1.5041,                0.65377,                0.47926,                0.52719,                0.27724,                 1.6886,                 1.5235,                 1.5254,               0.001568,               0.001568,               0.001568
                      5,                 1.6731,                 1.5802,                 1.4891,                0.61511,                0.51174,                0.52748,                0.27472,                 1.6874,                  1.626,                  1.519,               0.001535,               0.001535,               0.001535
                      6,                 1.6332,                 1.5053,                  1.469,                0.67027,                0.51147,                0.55341,                0.29848,                 1.6727,                 1.4672,                 1.5016,               0.001502,               0.001502,               0.001502
                      7,                 1.6291,                 1.4734,                 1.4605,                0.70379,                0.49272,                0.55342,                0.30459,                 1.6408,                 1.4096,                 1.4913,               0.001469,               0.001469,               0.001469
                      8,                 1.6033,                 1.4449,                 1.4425,                0.67388,                0.50856,                0.55071,                0.29169,                 1.6716,                  1.455,                 1.5147,               0.001436,               0.001436,               0.001436
                      9,                 1.6014,                 1.4258,                 1.4383,                0.66208,                0.51722,                0.55997,                0.29801,                 1.6654,                 1.3922,                 1.5017,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.5835,                 1.3951,                 1.4249,                0.65314,                0.49056,                0.53762,                 0.2947,                 1.6631,                 1.4181,                 1.5085,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.5733,                 1.3889,                 1.4233,                0.63742,                0.52396,                0.56987,                0.31175,                 1.6457,                 1.3396,                 1.4633,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.5579,                 1.3496,                 1.4062,                 0.6747,                0.53667,                0.57708,                0.31819,                   1.61,                 1.3332,                 1.4658,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.5328,                 1.3303,                 1.4071,                0.71102,                0.51611,                  0.587,                0.31617,                 1.5917,                 1.2982,                 1.4379,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.5427,                 1.3217,                 1.3933,                0.71407,                0.53363,                0.59218,                0.33185,                 1.5848,                 1.2732,                 1.4353,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.5271,                 1.2965,                 1.3815,                0.69716,                0.54412,                 0.6033,                0.33373,                 1.5915,                 1.2906,                  1.443,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.5073,                 1.2845,                 1.3771,                 0.7071,                0.53822,                 0.6067,                0.33781,                 1.5728,                  1.237,                 1.4253,              0.0011719,              0.0011719,              0.0011719
                     17,                  1.503,                 1.2665,                 1.3745,                0.72458,                0.53721,                0.60727,                 0.3434,                 1.5588,                 1.2527,                 1.4223,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.4884,                 1.2715,                 1.3697,                0.71465,                0.55507,                0.61835,                0.35001,                 1.5576,                 1.2116,                 1.4108,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.4885,                 1.2474,                 1.3624,                0.69987,                0.55469,                 0.6113,                0.34777,                  1.543,                 1.2209,                 1.4087,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.4725,                  1.227,                  1.356,                0.69612,                0.53373,                0.60964,                 0.3458,                 1.5594,                 1.2112,                  1.416,              0.0010399,              0.0010399,              0.0010399
                     21,                  1.463,                 1.2093,                 1.3354,                0.70809,                0.56528,                0.62071,                0.35598,                 1.5411,                 1.1849,                 1.3993,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.4513,                  1.203,                 1.3423,                0.68459,                0.56859,                0.62274,                0.36431,                 1.5261,                 1.1649,                 1.3977,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.4548,                 1.1807,                 1.3359,                0.74904,                0.55849,                0.64246,                0.36542,                 1.5451,                 1.1517,                 1.4044,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.4544,                 1.1762,                 1.3285,                0.72044,                0.56002,                0.62869,                0.36395,                 1.5287,                 1.1409,                  1.394,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.4403,                 1.1641,                 1.3258,                0.73809,                 0.5639,                0.63789,                0.36325,                 1.5246,                 1.1548,                  1.397,             0.00087484,             0.00087484,             0.00087484
                     26,                  1.423,                  1.155,                 1.3282,                0.72162,                 0.5802,                0.63064,                0.36328,                 1.5246,                 1.1633,                 1.3962,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.4127,                 1.1262,                 1.3107,                0.75452,                0.55376,                0.63787,                 0.3664,                 1.5343,                 1.1451,                  1.387,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.4063,                 1.1167,                 1.3074,                0.72125,                0.58692,                0.64727,                0.37242,                 1.4971,                 1.1235,                 1.3747,             0.00077582,             0.00077582,             0.00077582
                     29,                 1.3883,                 1.1134,                 1.2963,                0.75419,                0.57164,                0.64487,                0.37514,                 1.5148,                 1.0932,                 1.3815,             0.00074282,             0.00074282,             0.00074282
                     30,                 1.3963,                 1.1037,                  1.298,                0.74917,                0.57279,                0.63748,                0.37255,                 1.5021,                 1.1106,                 1.3818,             0.00070981,             0.00070981,             0.00070981
                     31,                 1.3808,                   1.09,                 1.2922,                 0.7285,                0.57271,                0.63111,                 0.3674,                 1.5098,                 1.1087,                 1.3861,              0.0006768,              0.0006768,              0.0006768
                     32,                 1.4009,                 1.0843,                 1.2884,                0.76729,                0.56179,                0.65133,                0.37557,                 1.4971,                 1.1072,                 1.3672,              0.0006438,              0.0006438,              0.0006438
                     33,                 1.3623,                 1.0666,                 1.2797,                 0.7318,                 0.5774,                0.64103,                0.37105,                 1.5093,                 1.1178,                 1.3816,             0.00061079,             0.00061079,             0.00061079
                     34,                  1.359,                 1.0487,                 1.2731,                0.74792,                0.58131,                0.65647,                0.37984,                 1.4875,                  1.076,                  1.359,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.3603,                 1.0521,                  1.271,                0.74073,                0.58036,                0.64671,                0.37651,                  1.501,                  1.104,                 1.3659,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.3585,                 1.0517,                  1.276,                 0.7541,                0.56759,                0.63669,                0.37171,                 1.5013,                 1.1031,                 1.3748,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.3484,                 1.0447,                 1.2717,                0.74803,                0.56788,                0.64111,                0.36987,                 1.5077,                  1.112,                 1.3776,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.3425,                 1.0215,                 1.2629,                0.72304,                0.57865,                0.65042,                0.37663,                 1.5147,                 1.0982,                 1.3863,             0.00044576,             0.00044576,             0.00044576
